"TIME","GEO","UNIT","ISCED11","SEX","DEG_URB","AGE","Value","Flag and Footnotes"
"2008","France","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","67.0",""
"2008","France","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","42.3",""
"2008","France","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","24.8",""
"2008","Croatia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","25.9",""
"2008","Croatia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","74.1",""
"2008","Croatia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","60.5",""
"2008","Croatia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","13.6",""
"2008","Italy","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","47.9",""
"2008","Italy","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","52.1",""
"2008","Italy","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","39.5",""
"2008","Italy","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","12.7",""
"2008","Cyprus","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","30.4",""
"2008","Cyprus","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","69.6",""
"2008","Cyprus","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","38.6",""
"2008","Cyprus","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","31.0",""
"2008","Latvia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","22.8",""
"2008","Latvia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","77.2",""
"2008","Latvia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","56.5",""
"2008","Latvia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","20.7",""
"2008","Lithuania","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","18.5",""
"2008","Lithuania","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","81.5",""
"2008","Lithuania","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","56.1",""
"2008","Lithuania","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","25.3",""
"2008","Luxembourg","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","36.8",""
"2008","Luxembourg","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","63.2",""
"2008","Luxembourg","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","39.5",""
"2008","Luxembourg","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","23.7",""
"2008","Hungary","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","25.8",""
"2008","Hungary","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","74.2",""
"2008","Hungary","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","57.8",""
"2008","Hungary","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","16.4",""
"2008","Malta","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","65.1",""
"2008","Malta","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","34.9",""
"2008","Malta","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","22.8",""
"2008","Malta","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","12.1",""
"2008","Netherlands","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","32.8",""
"2008","Netherlands","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","67.2",""
"2008","Netherlands","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","40.9",""
"2008","Netherlands","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","26.3",""
"2008","Austria","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","24.6",""
"2008","Austria","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","75.4",""
"2008","Austria","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","60.4",""
"2008","Austria","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","15.0",""
"2008","Poland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","19.6",""
"2008","Poland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","80.4",""
"2008","Poland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","63.8",""
"2008","Poland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","16.5",""
"2008","Portugal","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","70.8",""
"2008","Portugal","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","29.2",""
"2008","Portugal","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","16.6",""
"2008","Portugal","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","12.6",""
"2008","Romania","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","30.2",""
"2008","Romania","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","69.8",""
"2008","Romania","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","59.2",""
"2008","Romania","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","10.7",""
"2008","Slovenia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","21.9",""
"2008","Slovenia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","78.1",""
"2008","Slovenia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","59.2",""
"2008","Slovenia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","19.0",""
"2008","Slovakia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","17.6",""
"2008","Slovakia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","82.4",""
"2008","Slovakia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","70.1",""
"2008","Slovakia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","12.3",""
"2008","Finland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","25.1",""
"2008","Finland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","74.9",""
"2008","Finland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","44.6",""
"2008","Finland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","30.2",""
"2008","Sweden","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","26.2",""
"2008","Sweden","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","73.8",""
"2008","Sweden","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","47.0",""
"2008","Sweden","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","26.9",""
"2008","Iceland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","42.5",""
"2008","Iceland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","57.5",""
"2008","Iceland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","32.0",""
"2008","Iceland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","25.5",""
"2008","Norway","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","27.2",""
"2008","Norway","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","72.8",""
"2008","Norway","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","42.6",""
"2008","Norway","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","30.2",""
"2008","Switzerland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","20.4",""
"2008","Switzerland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","79.6",""
"2008","Switzerland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","51.1",""
"2008","Switzerland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","28.5",""
"2008","United Kingdom","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","26.9","b"
"2008","United Kingdom","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","73.1","b"
"2008","United Kingdom","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","44.4","b"
"2008","United Kingdom","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","28.7","b"
"2008","Montenegro","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years",":",""
"2008","Montenegro","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years",":",""
"2008","Montenegro","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years",":",""
"2008","Montenegro","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years",":",""
"2008","North Macedonia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","42.5",""
"2008","North Macedonia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","57.5",""
"2008","North Macedonia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","46.4",""
"2008","North Macedonia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","11.0",""
"2008","Serbia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years",":",""
"2008","Serbia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years",":",""
"2008","Serbia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years",":",""
"2008","Serbia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years",":",""
"2008","Turkey","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","70.6",""
"2008","Turkey","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","29.4",""
"2008","Turkey","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","19.9",""
"2008","Turkey","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","9.5",""
"2009","Belgium","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","32.4",""
"2009","Belgium","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","67.6",""
"2009","Belgium","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","38.1",""
"2009","Belgium","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","29.4",""
"2009","Bulgaria","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","27.6",""
"2009","Bulgaria","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","72.4",""
"2009","Bulgaria","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","53.2",""
"2009","Bulgaria","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","19.2",""
"2009","Czechia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","15.2",""
"2009","Czechia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","84.8",""
"2009","Czechia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","71.4",""
"2009","Czechia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","13.4",""
"2009","Denmark","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","32.4",""
"2009","Denmark","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","67.6",""
"2009","Denmark","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","41.0",""
"2009","Denmark","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","26.6",""
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","22.0",""
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","78.0",""
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","55.8",""
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","22.3",""
"2009","Estonia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","19.2",""
"2009","Estonia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","80.8",""
"2009","Estonia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","50.6",""
"2009","Estonia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","30.2",""
"2009","Ireland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","30.7",""
"2009","Ireland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","69.3",""
"2009","Ireland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","36.7",""
"2009","Ireland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","32.6",""
"2009","Greece","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","39.6","b"
"2009","Greece","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","60.4","b"
"2009","Greece","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","40.5","b"
"2009","Greece","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","19.9","b"
"2009","Spain","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","49.5",""
"2009","Spain","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","50.5",""
"2009","Spain","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","23.2",""
"2009","Spain","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","27.4",""
"2009","France","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","32.4",""
"2009","France","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","67.6",""
"2009","France","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","41.8",""
"2009","France","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","25.9",""
"2009","Croatia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","25.3",""
"2009","Croatia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","74.7",""
"2009","Croatia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","60.2",""
"2009","Croatia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","14.5",""
"2009","Italy","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","47.1",""
"2009","Italy","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","52.9",""
"2009","Italy","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","40.1",""
"2009","Italy","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","12.8",""
"2009","Cyprus","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","31.2","b"
"2009","Cyprus","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","68.8","b"
"2009","Cyprus","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","38.2","b"
"2009","Cyprus","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","30.5","b"
"2009","Latvia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","21.5",""
"2009","Latvia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","78.5",""
"2009","Latvia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","57.0",""
"2009","Latvia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","21.4",""
"2009","Lithuania","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","18.0",""
"2009","Lithuania","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","82.0",""
"2009","Lithuania","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","56.5",""
"2009","Lithuania","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","25.5",""
"2009","Luxembourg","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","28.5","b"
"2009","Luxembourg","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","71.5","b"
"2009","Luxembourg","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","41.3","b"
"2009","Luxembourg","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","30.2","b"
"2009","Hungary","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","25.0",""
"2009","Hungary","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","75.0",""
"2009","Hungary","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","58.1",""
"2009","Hungary","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","16.9",""
"2009","Malta","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","62.0",""
"2009","Malta","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","38.0",""
"2009","Malta","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","25.2",""
"2009","Malta","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","12.8",""
"2009","Netherlands","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","32.6",""
"2009","Netherlands","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","67.4",""
"2009","Netherlands","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","40.6",""
"2009","Netherlands","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","26.8",""
"2009","Austria","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","23.8",""
"2009","Austria","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","76.2",""
"2009","Austria","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","60.2",""
"2009","Austria","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","16.0",""
"2009","Poland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","18.7",""
"2009","Poland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","81.3",""
"2009","Poland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","63.2",""
"2009","Poland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","18.1",""
"2009","Portugal","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","69.2",""
"2009","Portugal","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","30.8",""
"2009","Portugal","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","17.7",""
"2009","Portugal","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","13.1",""
"2009","Romania","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","30.2",""
"2009","Romania","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","69.8",""
"2009","Romania","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","58.6",""
"2009","Romania","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","11.2",""
"2009","Slovenia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","20.8",""
"2009","Slovenia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","79.2",""
"2009","Slovenia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","59.6",""
"2009","Slovenia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","19.6",""
"2009","Slovakia","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","16.5",""
"2009","Slovakia","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","83.5",""
"2009","Slovakia","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","70.1",""
"2009","Slovakia","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","13.4",""
"2009","Finland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","24.4",""
"2009","Finland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","75.6",""
"2009","Finland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","44.7",""
"2009","Finland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","30.9",""
"2009","Sweden","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","25.4",""
"2009","Sweden","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","74.6",""
"2009","Sweden","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","47.0",""
"2009","Sweden","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","27.6",""
"2009","Iceland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","41.2",""
"2009","Iceland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","58.8",""
"2009","Iceland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","32.3",""
"2009","Iceland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","26.5",""
"2009","Norway","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","26.1",""
"2009","Norway","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","73.9",""
"2009","Norway","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","43.2",""
"2009","Norway","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","30.7",""
"2009","Switzerland","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","20.5",""
"2009","Switzerland","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","79.5",""
"2009","Switzerland","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","Total","From 15 to 64 years","49.9",""
"2009","Switzerland","Percentage","Tertiary education (levels 5-8)","Total","Total","From 15 to 64 years","29.6",""
"2009","United Kingdom","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","Total","Total","From 15 to 64 years","25.7",""
"2009","United Kingdom","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","Total","Total","From 15 to 64 years","74.3",""
